host_id,host_groupNumber,host_sex,host_age,host_death,host_species,host_breed
0,10,M,88,84,Jordan Brady,Jose Hughes
1,11,M,48,78,Patricia Ortega,Kyle Michael
2,8,M,89,54,Melissa Little,Lori Matthews
3,3,M,5,61,Robert Lane,James Lee
4,0,M,29,67,Logan Morrow,Matthew Walton
5,10,M,47,34,Daniel Castillo,Susan Ward
6,8,M,19,32,April Ross,William Bishop
7,11,F,22,60,Ashley Brown,Lindsay Sims
8,2,F,45,37,Hannah Webb,Melinda Glover
9,7,F,20,14,Matthew Mcguire,Ann Smith
10,6,M,84,67,Daniel Ellis,James Ortiz
11,8,M,42,27,Laura Jennings,Beth Hill
12,14,F,13,15,Heather Bowers,Amy Perez
iW3,12,F,35,78,Kevin Lang,Gregory Wright
14,2,M,55,75,Marc Gibson,Sandra Rivera
15,13,M,35,1,Heather Crawford,Kayla Jordan
16,6,F,20,9,Brooke Kelly,Lisa Sheppard
17,4,M,80,8,Kevin Smith,Thomas Hodges
18,6,F,0,69,Aaron Riggs,Nicholas House
19,13,M,84,18,Anne Sharp,Matthew Moore
20,5,F,45,85,Phillip Smith,Alejandro Hall
21,7,M,98,26,Diane Byrd,Chase Garcia
22,7,F,26,75,Jeffrey Serrano,Lisa Jefferson
23,8,M,92,92,William Fischer,Russell Walters
24,5,M,31,97,Kevin Collins,Michele Bell
25,0,F,21,31,Lauren Watson,Mercedes Peters
26,3,M,87,6,Heather Merritt,Mr. Jesus Rowe IV
27,1,F,45,16,Manuel Hill,Mark Bell
28,0,F,45,31,Jessica Robinson,Andrew Sawyer
29,11,F,84,0,George Chambers,Melissa Washington
30,8,M,91,11,Dawn Arnold,Samuel Faulkner
31,0,F,63,84,Nicholas Morrison,Adrian Bryant DVM
32,10,F,49,73,Megan Nguyen,Keith Holloway
33,9,M,43,35,Danielle Blake,Wendy Moore
34,3,F,28,17,Dr. Jessica Huffman,Cindy Schwartz
35,14,F,33,95,Jacob Taylor,Pamela Houston
36,5,F,87,21,Wesley Collier,Kyle Nelson
37,3,M,99,32,Timothy Barnett,Brian Wilkerson
38,12,M,49,15,Jesse Decker,Dustin Jones
39,3,F,28,10,Monica Marquez,Michelle Powell
40,12,M,2,61,Reginald Wallace,Lindsey Olsen
41,6,M,85,38,Gloria Peterson,Erica Bates
42,4,M,37,56,Katherine Bryan,David Hunter
43,13,M,59,82,Jennifer Payne,Joshua Obrien
44,2,F,94,14,Mark Fisher,Alexander Mendoza
45,0,M,76,73,Jessica Carter,Sarah Brown
46,3,M,42,22,John Mays,Steven Meyer
47,11,M,43,27,Jessica Hill,Aaron Flores
48,11,M,87,82,Dennis Jenkins,Samantha Richardson
49,13,M,92,31,Jeremy Jones,Kelly Taylor
50,9,F,93,64,John Watson,Kimberly Estrada
51,9,M,62,24,Eric Robinson,Nancy Williamson
52,1,M,63,49,April Li DVM,David Rich
53,5,M,82,88,Jessica Brown,Kimberly Contreras
54,3,M,92,95,John Brown,Lisa Pierce
55,3,F,70,0,Laura Nelson,Mackenzie Welch
56,12,M,56,45,Joseph Holmes,Anna Padilla
57,5,M,76,97,Joseph Vazquez,Maria Wu
58,10,F,30,58,Tony Turner,Brandon Bullock
59,7,M,74,16,Adam Klein,Ms. Sara Arnold
60,4,M,5,15,Sean Campos,Krista Garcia
61,13,M,77,89,Brenda Smith,John Smith
62,10,M,75,71,Sally Brandt,Diana Chase
63,2,F,26,81,Alexandra Patterson,Kristen Odom DDS
64,11,M,1,78,Veronica Petersen,Kimberly Gross
65,13,F,99,17,Lisa Walker,Christina Schmidt
66,14,M,16,80,Monica Griffin,Isaac Alvarado
67,0,F,47,65,Joshua Santos,Samantha Bender
68,0,M,61,8,William Wade,Kristina Rice
69,2,F,80,22,Taylor Norton,Elizabeth Jenkins
70,3,M,43,86,Jorge Davis,Lori Morgan
71,1,F,65,19,Ashley Klein,Mr. Dale Peterson DVM
72,3,F,0,33,Karen Carroll,Jacob Perry
73,0,M,37,72,Jessica Wise,Jeremy Douglas
74,1,M,53,18,Lisa Brown,Matthew Strickland
75,0,M,3,53,Sandra Thompson,Jose Jones
76,12,F,97,29,Michael Moore,Toni Henderson
77,1,F,14,37,Bobby Ryan,Frank Vaughn
78,4,F,43,48,Miguel Ellis,Taylor Willis DVM
79,2,F,17,85,Calvin Maxwell,Douglas Hill
80,7,F,75,8,Sabrina Rowland,Thomas Fox
81,9,F,51,74,Dr. Melissa Marks,Noah Andersen
82,5,F,31,25,Cassandra Cabrera,Andrew Jones
83,11,F,21,90,Frederick Francis,Mr. David Patrick
84,8,M,83,26,Max Brock,Martha Thomas
85,7,M,81,86,Paula Clark,Luis Reed
86,6,M,62,89,Eric Rich,Tanya Lee
87,8,F,64,66,Carol Pineda,Marcus Daniels
88,6,M,13,60,Miss Katherine Warner,Jennifer Matthews
89,1,M,5,86,Dr. Cynthia Gonzalez,Robert Romero
90,6,F,11,84,Tyler Aguilar,Brian Ross
91,4,M,82,83,Miguel Ochoa,James Sherman
92,4,F,91,89,Francis Duran,Tonya Thornton
93,11,F,34,5,Troy Thompson,Kelly Wright
94,0,M,52,22,Matthew Mcdonald,Timothy Martinez
95,2,F,78,45,Andrea Ayers,Kimberly Thompson
96,11,M,79,77,Jenny Benton,Tanya Gibson
97,1,F,58,95,Mitchell Douglas,Leslie Huang
98,9,F,8,29,Raymond Wong,Andrew Mcdonald
99,7,M,52,83,Matthew Jones,Taylor Martinez
